contract_no,supplier,description,begin_date,end_date,max_amount
0000000000000000000004296,NEC CORPORATION OF AMERICA,MBIS Maintenance and Support,3/1/2025,2/28/2030,"$14,109,193.28"
0000000000000000000002969,"NEOS CONSULTING GROUP, LLC",Mainframe Migration Staff Aug,4/26/2023,8/31/2026,"$681,340.00"
0000000000000000000005270,"NETSYNC NETWORK SOLUTIONS, INC.",BIG-IP Subscription Services,11/1/2025,12/21/2026,"$102,085.62"
0000000000000000000005247,"NETSYNC NETWORK SOLUTIONS, INC.",Infoblox Solicitation,10/16/2025,8/31/2026,"$125,183.95"
0000000000000000000005443,"NETSYNC NETWORK SOLUTIONS, INC.",FY26 Red Hat Maintenance,1/28/2026,2/26/2027,"$140,555.88"
0000000000000000000003403,"NETSYNC NETWORK SOLUTIONS, INC.",F5 BIG-IP Switch Local Traffic,8/28/2023,8/30/2028,"$190,517.40"
0000000000000000000003667,"NETSYNC NETWORK SOLUTIONS, INC.",AppDynamics Software,1/25/2024,1/24/2027,"$198,600.12"
0000000000000000000005431,"NETSYNC NETWORK SOLUTIONS, INC.",SR 3466468 Internet Firewall,1/20/2026,8/31/2026,"$250,038.40"
0000000000000000000003780,"NETSYNC NETWORK SOLUTIONS, INC.",Routers Upgrade,3/26/2024,3/25/2027,"$288,651.00"
0000000000000000000002895,"NETSYNC NETWORK SOLUTIONS, INC.",FY23 SOLCT AppDynamics SaaS,3/20/2023,8/31/2026,"$312,994.44"
0000000000000000000005013,"NETSYNC NETWORK SOLUTIONS, INC.",Cisco Secure Frewal Add Equip,7/28/2025,8/31/2030,"$579,840.00"
0000000000000000000004696,"NETSYNC NETWORK SOLUTIONS, INC.",DPS HW Equipment,5/15/2025,5/15/2028,"$601,996.26"
0000000000000000000004073,"NETSYNC NETWORK SOLUTIONS, INC.",ISR,8/14/2024,8/31/2027,"$937,716.29"
0000000000000000000003811,"NETSYNC NETWORK SOLUTIONS, INC.",DPS Core,4/25/2024,4/24/2027,"$999,893.50"
0000000000000000000004511,"NETSYNC NETWORK SOLUTIONS, INC.",Cisco Flex Rnwl FY25,4/16/2025,4/15/2028,"$1,165,806.00"
0000000000000000000004247,"NETSYNC NETWORK SOLUTIONS, INC.",SDWAN Routers,2/25/2025,2/24/2028,"$1,830,790.00"
0000000000000000000005387,"NETSYNC NETWORK SOLUTIONS, INC.",Enterprise Security Agreement,1/1/2026,12/31/2030,"$5,807,041.25"
0000000000000000000003658,NEUBUS INC,Microfilm Digital Conversion,3/1/2024,3/1/2029,"$12,122,212.00"
0000000000000000000005332,NEW TECH SOLUTIONS INC,FY26 Solarwinds Solicitation,12/15/2025,12/14/2028,"$286,307.71"
0000000000000000000004271,NEW TECH SOLUTIONS INC,FY25 Adobe ETLA,11/14/2024,11/17/2027,"$953,205.98"
4/09/2026,0000000000000000000002532 NI GOVERNMENT SERVICES INC,FY23 Mobile Sat Radio Srvs,8/25/2022,8/31/2026,"$129,119.04"
0000000000000000000005200,NICHEVISION FORENSICS LLC,STRmix Upgrade & Maintenance,10/1/2025,9/30/2029,"$344,400.00"
0000000000000000000004615,NIPUN SYSTEMS INC,Staff Aug Business Analyst 2,4/24/2025,8/31/2026,"$271,600.00"
0000000000000000000004609,NIPUN SYSTEMS INC,Database Administrator 3 ITSAC,4/22/2025,8/31/2026,"$399,312.00"
0000000000000000000003858,NIPUN SYSTEMS INC,Staff Aug Java Developer,6/6/2024,5/31/2026,"$549,282.00"
0000000000000000000002572,NIPUN SYSTEMS INC,DIR Staff Aug Diana Gillikin,8/30/2022,8/31/2027,"$1,442,400.00"
0000000000000000000004417,"NP STRATEGIES, LLC",Bridge4PS Subscription,3/1/2025,2/28/2030,"$1,250,000.00"
0000000000000000000003626,NWN CORPORATION,911 Inform License and Softwar,12/28/2023,3/31/2027,"$161,407.77"
0000000000000000000001990,OCCUPATIONAL HEALTH CENTERS OF THE SW PA,Trooper Candidate Physicals,9/1/2021,2/28/2027,"$2,275,285.72"
0000000000000000000004187,OPERATOR XR LLC,Operator XR VR Training System,8/1/2025,7/31/2030,"$3,695,600.56"
0000000000000000000005477,OPTIMUM CONSULTANCY SERVICES,Smartsheet Enterprise Licenses,4/1/2026,3/31/2031,"$621,700.25"
0000000000000000000004235,OPTIMUM TECHNOLOGY INC,UCR/NIBRS M&S,4/1/2025,3/31/2030,"$2,570,280.00"
0000000000000000000005183,OPUS INSPECTION INC,TORVET (FY 26-31),11/3/2025,1/31/2031,"$2,500,000.00"
0000000000000000000001596,OPUS INSPECTION TECHNOLOGIES INC,ADLTS,7/1/2021,6/30/2026,"$6,503,963.10"
0000000000000000000003535,OPUS INSPECTION TECHNOLOGIES INC,DLD Appointment Solutions,1/1/2025,12/31/2029,"$12,000,000.00"
0000000000000000000002941,O'REILLY MEDIA INC,FY23 O'Reilly Online Learning,4/12/2023,4/11/2028,"$185,530.00"
0000000000000000000004178,OTHRAM INC,SNP Testing and Genealogy Rese,10/25/2024,8/31/2027,"$116,667.00"
0000000000000000000004655,PACESETTER K9 LLC,Canines Blanket,5/2/2025,5/1/2030,"$200,000.00"
0000000000000000000003691,PACIFIC MOBILE STRUCTURES INC,20230245000 Winnie CVE Modular,2/16/2024,2/15/2034,"$742,190.00"
0000000000000000000003015,PACIFIC MOBILE STRUCTURES INC,20220219000 Hempstead Modular,6/6/2023,6/5/2033,"$748,041.00"
0000000000000000000004081,PACIFIC MOBILE STRUCTURES INC,20230402000 Penwell Modular,8/29/2024,8/28/2034,"$831,928.75"
0000000000000000000003221,PACIFIC MOBILE STRUCTURES INC,New Waverly Modular,7/25/2023,8/31/2033,"$1,195,452.00"
405-17-P009127,PALOMAR MODULAR BUILDINGS LLC,Modular Bldg Lease - HQ N1,7/23/2016,8/31/2026,"$364,956.80"
0000000000000000000002791,PALOMAR MODULAR BUILDINGS LLC,Florence Drone Modular,1/11/2023,8/31/2033,"$612,088.00"
0000000000000000000000461,PALOMAR MODULAR BUILDINGS LLC,Modular Bldg Lease-HQ N2,7/29/2019,8/31/2028,"$727,840.00"
0000000000000000000002673,PALOMAR MODULAR BUILDINGS LLC,Falfurrias Weigh Station Lease,8/31/2022,8/30/2027,"$764,000.00"
0000000000000000000005373,PALOMAR MODULAR BUILDINGS LLC,Modular Building Lease,3/1/2026,8/31/2030,"$2,087,598.00"
0000000000000000000004179,PARABON NANOLABS INC,DNA Analysis and Genetic Genea,10/25/2024,8/31/2027,"$116,667.00"
405-12-20534,PARKER COUNTY,Weatherford Bldg Lease 10647,4/1/2004,3/31/2031,"$129,600.00"
0000000000000000000004002,PARKHILL SMITH & COOPER INC,SG2-A/E Services-40523R0007034,6/26/2024,6/25/2029,"$1,500,000.00"
0000000000000000000004004,PARKHILL SMITH & COOPER INC,SG4-A/E Services-40523R0007034,6/26/2024,6/25/2029,"$1,500,000.00"
0000000000000000000004001,PARKHILL SMITH & COOPER INC,SG1-A/E Services-40523R0007034,6/26/2024,6/25/2029,"$4,500,000.00"
0000000000000000000000436,PDG ARCHITECTS,REG2 SG1 A/E Services,7/18/2019,8/31/2026,"$750,000.00"
0000000000000000000005269,"PEARSON VUE, A BUSINESS OF NCS PEARSON",MMPI-3 PSYCHOLOGICAL TESTING,10/28/2025,8/31/2030,"$225,000.00"
0000000000000000000004362,PEN-LINK LTD,Open-Source Intel Training,3/1/2025,2/28/2030,"$823,750.00"
0000000000000000000004336,PEN-LINK LTD,Penlink Subscription,2/18/2025,2/28/2030,"$5,299,177.00"
0000000000000000000004770,PFVT MOTORS LLC,Ford F-150 Trucks - 30,6/5/2025,6/4/2026,"$1,795,235.00"
0000000000000000000005038,PILATUS BUSINESS AIRCRAFT LTD,Pilatus PC-12 Pro Spectre,8/6/2025,8/31/2026,"$11,093,348.00"
0000000000000000000002138,PINNACLE PETROLEUM INC,Statewide Bulk Fuel Blank,1/14/2022,8/31/2026,"$4,500,000.00"
405-12-20542,PITCOCK INVESTMENT CORPORATION,Graham Building Lease 20045,12/1/2003,11/30/2027,"$317,459.33"
0000000000000000000005274,PITNEY BOWES INC,PB HQ Mailroom Equipment,10/30/2025,10/30/2030,"$986,453.40"
4/09/2026,0000000000000000000004306 POCKETALK INC,Pocketalk Voice Translators,12/11/2024,12/11/2027,"$130,000.00"
0000000000000000000005463,POLICE INDUSTRIAL TECHNOLOGY,THP Pit Bumper Kits,2/6/2026,8/31/2026,"$156,800.00"
0000000000000000000005278,PRECISION CAMERA INC,DD Nikon Z50 Cameras (HQ),10/30/2025,8/31/2026,"$135,060.30"
0000000000000000000005243,PRECISION DELTA CORP,10.14.25_Ammo_223 Trn 55gr Win,10/14/2025,8/31/2026,"$109,305.20"
0000000000000000000005556,PRECISION DELTA CORP,03.18.26_Ammo 223 Trn 55gr,3/18/2026,8/31/2026,"$190,096.00"
0000000000000000000005090,PRELUDE SYSTEMS INC,CRD Staff Aug Process Engineer,8/19/2025,8/31/2026,"$212,000.00"
0000000000000000000003801,PRESIDIO HOLDINGS INC,FY24 Palo Alto Renewal,4/10/2024,4/9/2027,"$307,880.79"
0000000000000000000002988,PRESIDIO HOLDINGS INC,DNA EA Licensing,5/5/2023,5/4/2028,"$2,726,976.60"
0000000000000000000004837,PRESIDIO NETWORKED SOLUTIONS GROUP LLC,DPS Mobile Command,6/16/2025,6/15/2026,"$116,610.61"
0000000000000000000003795,PRESIDIO NETWORKED SOLUTIONS GROUP LLC,F-5 Splunk VMware Support,9/1/2024,12/31/2026,"$132,176.13"
0000000000000000000005061,PRESIDIO NETWORKED SOLUTIONS GROUP LLC,A-Flex CC Licenses,8/19/2025,8/18/2026,"$146,801.04"
0000000000000000000005362,PRESIDIO NETWORKED SOLUTIONS GROUP LLC,SR 3487980 SA Alamo Routers,12/5/2025,12/5/2028,"$152,673.49"
0000000000000000000005488,PRESIDIO NETWORKED SOLUTIONS GROUP LLC,ISE Hybrid,2/24/2026,2/24/2029,"$193,494.21"
0000000000000000000005364,PRESIDIO NETWORKED SOLUTIONS GROUP LLC,SA Alamo Burns Building,12/5/2025,12/5/2028,"$213,048.56"
0000000000000000000004953,PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Cisco Catalyst,7/15/2025,8/31/2030,"$286,091.10"
0000000000000000000005131,PRESIDIO NETWORKED SOLUTIONS GROUP LLC,EOL Refresh,8/26/2025,8/31/2026,"$299,759.28"
0000000000000000000003832,PRESIDIO NETWORKED SOLUTIONS GROUP LLC,DLD Equipment & Hardware Repla,4/24/2024,4/23/2027,"$467,841.36"
0000000000000000000003191,PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Cisco SmartNet Total Care,7/1/2023,6/30/2028,"$2,010,844.85"
0000000000000000000004366,PRESIDIO NETWORKED SOLUTIONS GROUP LLC,ECS Cloud Ops Blanket Contract,2/1/2025,1/31/2030,"$2,500,000.00"
0000000000000000000005400,PRESIDIO NETWORKED SOLUTIONS GROUP LLC,UCS-X Replacement,12/1/2025,8/31/2026,"$2,570,921.47"
0000000000000000000004169,PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Cisco SmartNet Total Care,7/1/2023,6/30/2028,"$7,443,419.40"
0000000000000000000003128,PRESTIGE ELEVATOR SERVICES,Elevator Maint & Rep,6/16/2023,8/31/2026,"$329,331.92"
0000000000000000000005234,PRICESENZ LLC,25R0025998-StaffAug-BA-2,10/10/2025,8/31/2026,"$196,420.00"
0000000000000000000004626,PRIDE GENERAL CONTRACTORS LLC,Pecos Building Renovation,5/19/2025,8/31/2026,"$1,512,823.70"
0000000000000000000005123,PRIME MASONRY LLC DBA PRIME CONSTRUCTION,Victoria Mold HVAC Replacement,8/25/2025,8/31/2026,"$313,000.00"
0000000000000000000005217,PRIME TURBINES LLC,Statewide Major Aircraft Repa,10/31/2025,8/31/2030,"$3,000,000.00"
0000000000000000000003583,PRIMUS ELECTRONICS CORPORATION,RADIO TOWER SUPPLIES,1/1/2024,12/31/2028,"$975,000.00"
0000000000000000000005058,PRO FLIGHT GEAR LLC,Flight Helmet Servicing,9/1/2025,8/31/2030,"$125,000.00"
0000000000000000000005185,PROFORCE LAW ENFORCEMENT,C25 FTU DDM4V7,9/17/2025,8/31/2026,"$276,130.80"
0000000000000000000005253,PROFORCE LAW ENFORCEMENT,D25 FTU DDM4V7,10/21/2025,8/31/2026,"$276,130.80"
0000000000000000000004378,PSI SERVICES LLC,Solicit LEPS Promo Test Contra,1/24/2025,1/23/2030,"$400,000.00"
0000000000000000000002777,QA ROOFING INC,HQ Roof Repairs & Maintenance,1/13/2023,8/31/2026,"$110,000.00"
0000000000000000000005436,QIAGEN LLC,LUBFY26016 Qiagen ez1 24plex,1/22/2026,8/31/2026,"$110,650.18"
0000000000000000000005540,QIAGEN LLC,HOUFY26 - 3 - Qiagen,3/10/2026,8/31/2026,"$130,145.40"
0000000000000000000005397,QIAGEN LLC,HOUFY26 - 2 - 24plx,12/17/2025,8/31/2026,"$131,695.96"
0000000000000000000005224,QIAGEN LLC,GAR Qiagen 9-10-25,10/6/2025,8/31/2026,"$199,829.77"
0000000000000000000005394,QIAGEN LLC,CLD_CO_Qiagen_Kits/Buffer,12/17/2025,8/31/2026,"$928,521.94"
0000000000000000000005562,QIAGEN LLC,CLD_CO_Qiagen,3/19/2026,8/31/2026,"$1,120,471.68"
0000000000000000000005355,QIAGEN LLC,QIAGEN Maintenance '25-'30,12/3/2025,12/2/2030,"$2,300,000.00"
405-16-P005220,QUALITY HILL LLC,Forth Worth Bldg Lease 10303,11/1/2015,4/30/2029,"$1,258,676.08"
0000000000000000000002315,QUALTRAX INC,Qualtrax SMS Annual Services,4/26/2022,4/30/2027,"$187,490.01"
4/09/2026,0000000000000000000002568 RADIANT RFID LLC,FY23 Radiant VAT Services,8/30/2022,8/31/2027,"$1,145,208.40"
0000000000000000000005250,RAMS AVIATION COMPANY INC,Statewide Aircraft Maintenance,10/20/2025,8/31/2030,"$500,000.00"
0000000000000000000005301,RANDALL COUNTY,ICC - Randall County Amarillo,12/16/2025,12/16/2035,"$313,000.00"
405-17-P014792,RATHMELL LAND & CATTLE CO LTD,TFC Zapata Bdg Lease 8127,5/11/2017,6/30/2032,"$467,617.00"
0000000000000000000005255,RAY RABER,THP Horses - Emergency Purchas,10/22/2025,8/31/2026,"$158,000.00"
0000000000000000000002675,RAYMONDVILLE INDEPENDENT SCHOOL DISTRICT,RaymondVille ISD ICC,8/26/2022,8/27/2026,"$480,000.00"
405-17-P015863,REGINA O'FARRILL GONZALEZ,Harlingen Building Lease 20586,8/10/2017,2/29/2028,"$1,292,062.00"
0000000000000000000005252,REGION 3 EDUCATION SERVICE CENTER,R3 Edu Svcs Center - Victoria,10/30/2025,10/29/2030,"$952,189.56"
0000000000000000000002388,REMI HOLDINGS LLC,Shimadzu Full Service Maint.,7/1/2022,6/30/2027,"$193,257.98"
0000000000000000000005024,RENDON INDUSTRY SOLUTIONS LLC,Weslaco Lawn Care,9/1/2025,8/31/2030,"$186,591.82"
0000000000000000000004720,RESCUEGEAR INC,Swiftwater Gear Equipment,5/21/2025,5/20/2026,"$360,800.00"
0000000000000000000004660,RETAIL MOTORCYCLE VENTURES INC,BMW Motorcycle x 22,5/20/2025,8/31/2026,"$985,110.94"
0000000000000000000003238,"Reverent Technologies, Inc.",LUMINEX SUPPORT & MAINTENANCE,8/1/2023,10/31/2026,"$124,170.00"
0000000000000000000004194,RGEN INC,DNA Analysis and Genetic Genea,10/25/2024,8/31/2027,"$116,667.00"
0000000000000000000003704,RICKY L NORTHCUTT,TFC Lse.20758-Taylor-New Lease,2/1/2024,1/31/2029,"$936,340.96"
0000000000000000000005257,RIG SAFE SOLUTIONS INC,Region 4 Generator Maintenance,10/30/2025,8/31/2030,"$375,000.00"
0000000000000000000005522,RING POWER CORP,AFR_Rook (HQ),3/3/2026,3/1/2027,"$504,100.00"
0000000000000000000002104,RIO GRANDE VALLEY COMMUNICATIONS GROUP,Rio Grande Valley Radio Comms,11/1/2021,10/31/2026,"$1,500,000.00"
405-16-P006793,RIO VISTA DEVELOPMENT CO,20534-Rio Grande City,3/1/2016,2/28/2031,"$648,000.00"
405-16-P005672,RKJ ENTERPRISES INC,Bldg Lease TFC Paris 20451,6/1/2015,11/30/2035,"$4,551,965.84"
0000000000000000000005619,ROCKFORD BUSINESS INTERIORS,2A01 NEW OFFICE INDIANA,4/8/2026,8/31/2026,"$136,980.54"
0000000000000000000004945,ROCKFORD BUSINESS INTERIORS,IT - New Cubicle Furniture,7/17/2025,7/16/2026,"$219,576.92"
0000000000000000000005233,ROSE INTERNATIONAL INC,25R0025998-StaffAug-BA-1,10/10/2025,8/31/2026,"$196,420.00"
0000000000000000000004145,RSG AVIATION INC,Heavy Aviation Maintenance,9/1/2024,8/31/2029,"$4,000,000.00"
0000000000000000000005553,RUGGED SOLUTIONS AMERICA LLC,Havis,3/16/2026,8/31/2029,"$126,000.00"
0000000000000000000005304,RUGGED SOLUTIONS AMERICA LLC,FY26 MCT 600 Build,12/12/2025,8/31/2026,"$3,097,422.00"
0000000000000000000004274,RULICA/ANGELETON LLC,Establish Lse Agrmt.w/Rulica A,11/15/2024,11/14/2029,"$360,000.00"
0000000000000000000003603,SAFRAN HELICOPTER ENGINES USA INC,Safran Engines,12/13/2023,12/31/2028,"$6,250,000.00"
0000000000000000000004883,SALTY CLOUD PBC,GRC - Risk & Vuln Tool,6/25/2025,8/4/2027,"$112,500.00"
0000000000000000000004987,SAM HOUSTON STATE UNIVERSTIY,SHSU TRAINING - FY26-FY27,9/1/2025,8/31/2027,"$1,800,000.00"
0000000000000000000004742,SAM PACKS FIVE STAR FORD,Ford F-450 x 2 Fed,5/28/2025,8/31/2026,"$142,201.12"
0000000000000000000005164,SAM PACKS FIVE STAR FORD,Ford F-450 x 3,8/29/2025,8/31/2026,"$209,065.68"
0000000000000000000004698,SAM PACKS FIVE STAR FORD,Ford F-350 x 6,5/16/2025,8/31/2026,"$384,681.36"
0000000000000000000004718,SAM PACKS FIVE STAR FORD,Ford F-350 x 8,5/21/2025,8/31/2026,"$441,924.48"
0000000000000000000003659,SAMSARA NETWORKS INC,Telematic Devices,1/25/2024,2/2/2029,"$7,773,374.00"
0000000000000000000004783,SAT RADIO COMMUNICATIONS LTD,DSR 2X Radar,6/26/2025,8/31/2030,"$3,230,000.00"
0000000000000000000004956,SCOGGIN DICKEY CHEVROLET BUICK INC,Lubbock OEM Parts Contract,10/22/2025,10/21/2030,"$200,000.00"
0000000000000000000004436,SCOOP CYBERSECURITY LLC,SpyCloud Cyber Security,3/1/2025,9/9/2026,"$428,070.00"
0000000000000000000005514,SERVE & PROTECT FINANCIAL TEXAS LLC,Financial Wellness Training,3/16/2026,3/15/2027,"$162,500.00"
0000000000000000000005191,SHI GOVERNMENT SOLUTIONS INC,FY26 - Tenable.sc Solutions,10/10/2025,10/9/2026,"$132,029.40"
0000000000000000000005550,SHI GOVERNMENT SOLUTIONS INC,FY26 TPRM BlackKite,3/13/2026,8/31/2027,"$171,170.00"
4/09/2026,0000000000000000000004927 SHI GOVERNMENT SOLUTIONS INC,atlassian solicitation FY25,7/9/2025,8/31/2026,"$204,786.45"
0000000000000000000004924,SHI GOVERNMENT SOLUTIONS INC,Email Security Platform,7/8/2025,1/9/2027,"$409,796.00"
0000000000000000000004298,SHI GOVERNMENT SOLUTIONS INC,USLege.ai Licensing Blanket,12/2/2024,11/30/2026,"$600,000.00"
0000000000000000000003002,SHI GOVERNMENT SOLUTIONS INC,PIR Solution,6/14/2023,6/13/2028,"$695,618.75"
0000000000000000000005393,SHI GOVERNMENT SOLUTIONS INC,FY26 Microsoft EA SOL,1/1/2026,12/31/2028,"$1,529,766.66"
0000000000000000000005317,SHIMADZU SCIENTIFIC INST INC,CLD - Headspace GC,11/14/2025,11/14/2026,"$349,510.35"
0000000000000000000003071,"SIEMENS INDUSTRY INC., BUILDING TECHNOLO",FY23 HQ Statewide BAS Siemens,8/21/2023,8/31/2028,"$1,355,248.00"
0000000000000000000003140,SIGMA SURVEILLANCE,statewide security contract ag,6/20/2023,6/30/2028,"$7,836,000.00"
0000000000000000000004416,SIGMA SURVEILLANCE,Statewide Security Blanket,3/5/2025,3/5/2030,"$9,900,000.00"
0000000000000000000002078,SIGNATURE FLIGHT SUPPORT,Laredo Hangar Lease Agreement,9/1/2021,8/31/2026,"$240,681.00"
0000000000000000000004180,"SIGNATURE SCIENCE, LLC",DNA ANALYSIS & Genetic Genealo,10/25/2024,8/31/2027,"$616,667.00"
0000000000000000000001424,"SIGNATURE SCIENCE, LLC",DNA Outsourcing,5/15/2021,5/14/2026,"$4,000,000.00"
405-12-20557,SILLER EXCEL INC,Building Lease - Laredo 11262,12/1/2009,11/30/2029,"$840,787.00"
0000000000000000000002570,SIRIUS COMPUTER SOLUTIONS INC,IBM Mainframe HW Maintenance,8/30/2022,8/31/2026,"$157,804.24"
0000000000000000000003641,SIRIUS COMPUTER SOLUTIONS INC,IBM Maintenance 46 Mth,1/1/2024,10/31/2027,"$230,376.28"
0000000000000000000004398,SISTEMA TECHNOLOGIES INC,Crime Laboratory Portal,4/3/2025,8/31/2030,"$4,550,487.14"
0000000000000000000004543,SKYINTELLI INC,UAV Technology,4/29/2025,4/30/2029,"$156,000.00"
0000000000000000000001853,SMARTMAIL OF AUSTIN INC,SOR Sex Offender Registration,9/1/2021,8/31/2026,"$900,000.00"
0000000000000000000005374,SMARTMAIL OF AUSTIN INC,SOR Postcard Notifications,9/1/2026,8/31/2031,"$900,000.00"
0000000000000000000002764,SOFTWARE ONE INC,Microsoft Enterprise 3-Year,1/1/2023,12/31/2026,"$1,989,188.90"
0000000000000000000002248,SOFTWARE ONE INC,Azure Blanket,2/15/2022,5/14/2026,"$2,000,000.00"
0000000000000000000001790,SOS INTERNATIONAL LLC,Linguist Service,9/1/2021,8/31/2026,"$900,000.00"
0000000000000000000004682,SOUTHERN LABORATORY AND INDUSTRIAL INC,Hydrogen Generators,5/13/2025,5/13/2026,"$101,387.00"
0000000000000000000005452,SOUTHERN LABORATORY AND INDUSTRIAL INC,CLD - H2 Generators,1/30/2026,8/31/2026,"$129,114.00"
0000000000000000000004522,SOUTHWEST CHRYSLER DODGE JEEP RAM LLC,RAM 2500 Trucks,3/28/2025,8/31/2026,"$1,594,943.00"
0000000000000000000001871,SPECTRUM,Blanket for Spectrum Field,8/10/2021,8/31/2099,"$400,000.00"
0000000000000000000001870,SPECTRUM,Spectrum Blanket HQ,8/10/2021,8/31/2099,"$850,000.00"
0000000000000000000004244,SPRUCE TECHNOLOGY INC,TX Conviction Reporting (TXCR),11/22/2024,8/31/2029,"$3,610,104.21"
0000000000000000000005615,SR3 LLC,Aircraft Training - SR3,4/6/2026,8/31/2030,"$875,000.00"
0000000000000000000005266,STACS DNA INC DBA INVITA HEALTHCARE TECH,STACS-DB Enterprise,5/1/2026,4/30/2030,"$760,544.54"
0000000000000000000002305,STACS DNA INC DBA INVITA HEALTHCARE TECH,STACS SMS Annual Services,4/18/2022,4/30/2026,"$1,045,019.82"
0000000000000000000002683,STACS DNA INC DBA INVITA HEALTHCARE TECH,SAE Tracking System,11/30/2022,8/31/2027,"$3,446,698.13"
0000000000000000000004910,STARCHASE LLC,Total Solutions Pkgs - 73,7/2/2025,7/1/2030,"$680,406.75"
0000000000000000000005143,STATE OFFICE OF RISK MANAGEMENT,FY 26-27 SORM RISK MANAGEMENT,9/1/2025,8/31/2027,"$8,000,000.00"
0000000000000000000004393,"STEEL DIGITAL STUDIOS, INC.",DPS Marketing Services,3/1/2025,2/28/2029,"$9,300,000.00"
0000000000000000000002085,STELLAR SERVICES INC,Enterprise Content Management,10/1/2021,9/30/2026,"$24,995,000.00"
0000000000000000000002299,STONEHENGE PROPERTIES LTD-REVCORD,Recorder System Refresh,4/25/2022,4/25/2027,"$900,957.77"
0000000000000000000005119,"SUMMUS INDUSTRIES, INC.",Cerberus Advanced Licenses,10/1/2025,9/30/2027,"$183,300.00"
0000000000000000000003402,"SUMMUS INDUSTRIES, INC.",ITD SOL Mainview Suite,9/1/2023,8/31/2026,"$468,986.14"
0000000000000000000002223,SUNSHINE EASTGATE PLAZA LLC,Garland Building Lease 20291,1/12/2022,8/31/2027,"$9,294,473.00"
405-18-P013388,SVEA INDUSTRIAL VI LLC,TFC Lease-Jacksonville 20551,11/1/2017,10/31/2027,"$3,160,073.00"
4/09/2026,0000000000000000000005140 SWIPE RESOURCES LLC,FY25 Tower Replacement Gens,8/27/2025,8/31/2026,"$166,320.00"
0000000000000000000005015,T&C MANAGEMENT LLC,Shelby County Lease,11/1/2025,10/31/2035,"$1,824,000.00"
0000000000000000000002772,TARRANT COUNTY,Tarranty County Firearm Analys,1/1/2024,12/31/2028,"$250,000.00"
0000000000000000000005286,TECAN US INC,CLD - CODIS Tecan Service,11/3/2025,10/30/2030,"$202,300.00"
0000000000000000000003432,TECAN US INC,Tecan Robotic Service,9/1/2023,8/31/2027,"$452,074.23"
0000000000000000000005173,TEJAS ADVANCED SOLUTIONS,AME Servie & Support,10/9/2025,10/8/2030,"$3,000,000.00"
0000000000000000000005455,TEMPLE FEED & SUPPLY INC,THP SOLICIT NEW Equine Hay,2/1/2026,1/31/2027,"$157,000.00"
0000000000000000000005091,"TEQSYS, INC.",FY26 SOLICT Veritas NetBackup,9/1/2025,8/31/2026,"$429,140.60"
0000000000000000000004003,TERRACON CONSULTANTS INC,SG3-A/E Services-40523R0007034,6/26/2024,6/25/2029,"$500,000.00"
0000000000000000000005060,TESCAN USA INC,TESCAN maintenance services,9/1/2025,8/31/2029,"$155,424.00"
0000000000000000000002266,TEX AIR FILTERS,HQ-HVAC FILTER REPLACEMENT SER,2/23/2022,8/31/2026,"$204,989.84"
0000000000000000000005115,TEX AIR FILTERS,HQ-HVAC Filter Replacement,9/1/2025,8/31/2030,"$282,786.90"
0000000000000000000001730,TEXAS A&M ENGINEERING EXTENSION SERVICE,RSD - TEEX - IAC,7/7/2021,8/31/2026,"$123,384.00"
0000000000000000000004420,TEXAS ALCOHOL & DRUG TESTING SERVICE INC,FY25 Resolicit cont 2057,3/1/2025,2/28/2027,"$150,000.00"
0000000000000000000005288,TEXAS DEPARTMENT OF PUBLIC SAFETY,COSA_TAG_ICC,9/1/2025,8/31/2099,"$210,000.00"
0000000000000000000005289,TEXAS DEPARTMENT OF PUBLIC SAFETY,IAC_CC Reg,11/4/2025,8/31/2027,"$400,000.00"
0000000000000000000005163,TEXAS DEPARTMENT OF PUBLIC SAFETY,IAC_TDLR_FY26-27,9/1/2025,8/31/2027,"$800,000.00"
0000000000000000000004884,TEXAS DEPARTMENT OF TRANSPORTATION,FY26 DL Envelopes,9/1/2025,8/31/2026,"$174,083.60"
0000000000000000000005303,TEXAS DEPARTMENT OF TRANSPORTATION,TXDOT/DPS Aircraft Pooling IAC,11/7/2025,8/31/2027,"$4,000,000.00"
0000000000000000000005230,TEXAS DEPARTMENT OF TRANSPORTATION,TxDOT Inter Contract,10/7/2025,8/31/2026,"$4,789,577.31"
0000000000000000000004382,TEXAS DEPARTMENT OF TRANSPORTATION,Peirce Site Agreement,3/5/2025,8/31/2028,"$5,349,045.28"
0000000000000000000000839,TEXAS DEPT OF INFORMATION RESOURCES,IAC DIR Shared Services Master,8/20/2018,8/31/2099,"$1,716,189.14"
0000000000000000000002177,TEXAS DEPT OF INFORMATION RESOURCES,Satellite DIR-TELE-CTSA-007,12/27/2021,12/27/2026,"$7,200,000.00"
405-15-P003755,TEXAS DEPT OF INFORMATION RESOURCES,DIR IAC Microsoft Office,7/20/2015,8/31/2026,"$50,722,651.76"
0000000000000000000002904,TEXAS FACILITIES COMMISSION,1X 23-023-000TFC EL P TTC,4/12/2023,8/31/2026,"$184,842.00"
